molecule_chembl_id,canonical_smiles,standard_value
CHEMBL47846,O=[N+]([O-])c1ccc2c(c1)nc(O)c1cc([N+](=O)[O-])ccc12,35000.0
CHEMBL297200,O=S(=O)(NCC(c1ccccc1)c1ccccc1)c1ccc2nc(O)c3ccccc3c2c1,14000.0
CHEMBL296032,O=C(NCCN1CCOCC1)c1ccc2c(c1)nc(O)c1ccccc12,35.0
CHEMBL47371,Cc1cccc2c(O)nc3cc(C(F)(F)F)c([N+](=O)[O-])cc3c12,136.0
CHEMBL289834,O=C(NCCc1ccccc1)c1ccc2c(c1)nc(O)c1cc(F)ccc12,150.0
CHEMBL225725,Nc1ccc2[nH]c(=O)c3ccccc3c2c1,180.0
CHEMBL84741,O=C(CCN1CCCCC1)N1CCc2nc(O)c3ccccc3c2C1,42.0
CHEMBL444846,Oc1nc2c(c3ccc(F)cc13)CNCC2,20.0
CHEMBL84979,Oc1nc2c(c3ccccc13)CNCC2,35.0
CHEMBL83224,O=C(O)C(F)(F)F.Oc1nc2c(c3ccccc13)CCNC2,30.0
CHEMBL84886,O=C(CN1CCCCC1)N1CCc2c(nc(O)c3ccccc23)C1,162.0
CHEMBL82940,O=S(=O)(CCN1CCC(N2CCCC2)CC1)N1CCc2nc(O)c3ccccc3c2C1,357.0
CHEMBL309636,O=C(CCN1CCCCC1)N1CCc2c(nc(O)c3ccccc23)C1,240.0
CHEMBL84265,O=S(=O)(CCN1CCCCC1)N1CCc2nc(O)c3ccccc3c2C1,210.0
CHEMBL312183,O=C(CCCN1CCCCC1)N1CCc2nc(O)c3ccccc3c2C1,457.0
CHEMBL85733,O=C(CN1CCC(N2CCCC2)CC1)N1CCc2nc(O)c3ccccc3c2C1,185.0
CHEMBL84192,O=C(CN1CCCCC1)N1CCc2nc(O)c3ccccc3c2C1,59.0
CHEMBL310120,N[C@@H](CCC(=O)N1CCc2nc(O)c3ccccc3c2C1)C(=O)O,89.0
CHEMBL84096,O=C(CCN1CCCCC1)N1CCc2[nH]c(=O)c3cc(F)ccc3c2C1,25.0
CHEMBL84044,O=C1NC2CCCCC2c2ccccc21,7500.0
